ma_san_pham,similarity_products
357100003,"[422204777,357100004,422203505,357100009]"
242300001,"[242300001,242300002,242300005,242300003,242300008]"
422207325,[422208320]
422210803,"[422210803,422224042,422210801,422210802,422208317]"
206200005,"[206200005,100070048,357100010,422205975,422205152,422208862]"
422209262,"[422209262,422209378,422205355,422202045]"
100070011,"[100070011,422206735,422201055,201900001]"
422211153,"[422211153,422209938,422214690,422208064,422204424,422206651]"
422210261,"[422210261,422211152,422204424,422203173]"
422205355,"[422205355,308100015,422202045,422202025,422201374,422209378]"
422217898,"[422217898,422206577]"
422209343,"[422209343,422209938,422204424,422206651]"
308100015,"[308100015,422205355,422202025,422202045,422201374,422206806]"
422207326,[256700001]
249500011,"[249500011,249500001,422219308,422218132,213300004,213300007]"
422210801,"[422210801,422210802,422224044,422210803,422206603]"
422208815,"[422208815,422209939,208200002,422206650,422202817,422214690]"
422200355,"[422200355,422215805,422204787,422200357,422215806]"
100080053,"[100080053,206500006,206500007,206500008,422205662]"
206500008,"[206500008,422205662,206500009,422205661,422212630]"
422215807,[]
422205601,"[422205601,200900011,422205572,422205573]"
422208316,"[422208316,422208311,422208317,422209503]"
422201055,"[422201055,100210014,100070011,422206735,100550385]"
422208064,"[422208064,422206651,422211153,208200027,422206650,422211152]"
422207324,[]
422205572,"[422205572,422205573,422206906,422205601,200900011]"
422209375,"[422205355,422217898]"
422212483,"[422212483,358300003,358300001,422213957]"
252500004,"[252500004,252500002,252500003,252500001]"
422207040,[]
242300002,"[242300002,242300001,242300005,242300003]"
242300003,"[242300003,242300001,242300005,242300002]"
422224043,"[422224043,422210802,422224044,422224042,256100002]"
422201788,"[422201788,422201011,422201789,422201010,422201012,422201790]"
422211152,"[422211152,422210261,422206651,422211151,422206650]"
100200018,"[100200018,422206922,355900001]"
422210802,"[422210802,422224043,422210801,422210803,256100002]"
357100010,"[357100010,100070048,422205152,422208862,248700076,206200005]"
422206577,"[422206577,422217898]"
422209184,"[422209184,422209187,422205978,422202173]"
422211571,"[422211571,422211574,422211624]"
213300029,"[213300029,422222490,213300030,422216194,213300025,213300026]"
357100006,"[357100006,357100008,100270011]"
422222344,[]
422209185,"[422209185,422209189,422209186,422209190,422209188,422209191]"
206500009,"[206500009,206500008,422205662,422205661,422212630]"
201600039,"[201600039,201600049,100080038,201600037,422206457]"
422215805,"[422215805,422200355,422215806,206200065,422204787,206200069]"
249500026,"[249500026,249500025,249500012,213300016]"
422205662,"[422205662,206500008,206500009,422205661,422212630]"
422215255,[]
422200357,"[422200357,422215806,422200355,201900001,100180148]"
422201012,"[422201012,422201789,422201010,422201790,422201787,422201788]"
422208937,"[422208937,422201791,422204819]"
422208317,"[422208317,422209503]"
422214293,"[422214293,422214295,422214697,422201173,422214294,422201789]"
422205417,"[422205417,422200376,422209699,422208146]"
422217625,"[422217625,422217618]"
208200025,"[208200025,208200024,208200027,422206452,213300029]"
242300008,"[242300008,242300001,334900001]"
422209186,"[422209186,422209190,422209185,422209189,422209188,422209191]"
422206507,"[422206507,100120057,100120061,100120064,206800009,100120060]"
201600049,"[201600039,201600049,100080038,201600037,422206457]"
422211239,"[422211239,422211887,378200003,100220061,422211888,422206507]"
422216194,"[422216194,213300029,422222490,213300030,422216195,213300025]"
213300025,"[213300025,213300026,422216195,213300029,422222490,213300030]"
422222345,[206400029]
200900014,"[200900014,422223687,100180184]"
422203509,"[357100008,422202362,422203506,357100009]"
206500006,"[206500006,206500007,206500008,422205662,206500009,422205661]"
331300023,"[331300023,331300024,422212097,422213279,249500005]"
422209191,"[422209191,422209188,422222332,422209185,422209189]"
219200001,"[219200001,219200003,219200002,422204762,422207357]"
422210260,"[422210260,422211151,422210261,422204424]"
422224042,"[422224042,422210803,422224044,422224043,422217259]"
242300005,"[242300005,242300001,242300002,242300003]"
422201212,"[422201212,422205769,399200001,399200002,422218363]"
422208938,"[422208938,422201793,422208940,422208937]"
422217618,"[422217618,422217625]"
208200001,"[208200001,422204424,422206651,422209343]"
256700002,"[256700002,256700012,422207913,422211681,422203918,422207731]"
345800038,"[345800014,345800003,422204691,345800015,345800028]"
422216195,"[422216195,213300025,213300026,422216194,213300029,422222490]"
422206954,[308100015]
100070048,"[100070048,357100010,422205975,206200005,422205152,422208862]"
422226587,"[422213094,422213095,422208913]"
422207027,"[422207027,422200346,422207615,100080018]"
100080050,"[100080050,422210974,329700005,206200064,226200023]"
422201790,"[422201790,422201787,422201789,422201010,422201012,422201788]"
422204624,"[422204624,422204620,206400031,422208810]"
422202031,"[422202031,422202032,206200065,100080048]"
422202323,"[422202323,422202579,358300002,241600003,422202580,241600001]"
422208866,"[213300004,213300007,222600042,213300003]"
100080005,"[100080005,100080018,207600003,207600002]"
204100038,"[204100038,204100027,100120068,422203299,204100075,100100035]"
422224700,"[422205601,200900011]"
422208223,"[422208223,252500004,252500002,252500003,252500001]"
422205661,"[422205661,206500008,422205662,206500009,422212630]"
417000001,"[417000001,422217424,417000002,422201166]"
422206922,"[422206922,422209095,422213279,355900001,422204777]"
241600001,"[241600001,241600003,241600002,241600004]"
422216286,"[422216286,204100023,241600003,422216287,377400001,422202323]"
422211267,"[422211266,422202437,422202435,422204966]"
219200003,"[219200001,219200003,219200002,422204762,422207357]"
241600002,"[241600002,241600001,241600003,422204691,241600004]"
206200025,"[206200025,206200057,223600040,422205975,422209047]"
204900145,"[204900145,422219315,100240071,201600144,422216487,201600182]"
422211637,[]
422207812,"[422207812,422205355,422202045,308100015,422209262,422202025]"
100180196,"[100180196,100070053,207300001,422209173]"
422209385,[]
422201011,"[422201788,422201011,422201789,422201010,422201012,422201790]"
422222147,"[252500004,252500002]"
422204963,"[422204963,422219983,422205601,200900011]"
100180186,"[100180186,100100035,422206452]"
422214294,"[422214294,422214293,422214697,422201173,422214295]"
249600045,"[249600045,249600005,249600043,422202435,209600020,209600019]"
422217424,"[417000001,422217424,417000002,422201166]"
422220463,"[422220463,422200041,422200036,422219580]"
422206495,"[100180148,248700102,355500011]"
422223247,"[422223247,422209343,422210711,422206631,422209938]"
100100003,"[100100003,100100004,422212389,422212388]"
422204626,"[422204626,422204622,422204623,422204625,422204621,422202921]"
252500005,"[252500005,252500004,252500002,252500003,252500001]"
208200014,"[208200014,422205692,100100001,419200010,100540077,100540031]"
219200002,"[219200001,219200003,219200002,422204762,422207357]"
207600002,"[207600002,100080005,100080018]"
422202032,"[422202032,422202031,100080048,206200064,206200065]"
367400004,"[367400004,422206452,100180186,422201055,422208305]"
249500025,"[249500025,249500026,357100004]"
243900012,"[243900012,422219223,204100082]"
422208344,"[422208344,357100002,422206631,357100010,357100009]"
100070053,"[100070053,100180196,422208808,206400003,256700009,365000017]"
100120057,"[422206507,100120057,100120061,100120064,206800009,100120060]"
422211574,"[422211574,422211571]"
422222490,"[213300029,422222490,213300030,422216194,213300025,213300026]"
422212627,"[422212627,206500006,206500007,206500008,422205662,206500009]"
422204835,"[422204835,422209252,422206652,422214012,204100070,248700041]"
422214295,"[422214295,422214293,422205600,308500001,422207799,422214697]"
422224702,[422210309]
100180089,"[100180089,422215795,100180080,422209914]"
213300012,"[222600042,422206421]"
422212531,"[422206922,355900001,100200018,422204691]"
422204777,"[422204777,357100004,422203505,357100008,422214283]"
206200001,"[100080048,206200065]"
422200041,"[422200041,422220463,422200036,422211275]"
422206588,[100080048]
422205975,"[422205975,100070048,422205151,206200025,357100010,206200005]"
422204691,"[422204691,377400001,241600002,377400002,241600001]"
422222148,"[252500004,252500002]"
422222706,"[422222706,422205663,206500008]"
422215256,[206400029]
422204424,"[422204424,208200006,422209343,422206651,422209938]"
