month_year,ma_san_pham,review_count,ten_san_pham
2016-10,100770031,1,
2016-11,100140042,1,Gel Dưỡng Ẩm Nature Republic Chiết Xuất Lô Hội 300ml
2016-12,100150058,2,Xịt Khoáng Evoluderm Cấp Nước & Làm Dịu Da 400ml
2017-01,100200018,1,Kem Tắm Secret Key Dưỡng Sáng Da Mặt Và Cơ Thể 200g
2017-02,100750038,1,Nước Tẩy Trang Byphasse Cho Mọi Loại Da 500ml
2017-03,100540061,1,Son Dưỡng Môi Rebirth Nhau Thai Cừu Ngừa Khô Nứt Nẻ 3.7g
2017-04,100750038,1,Nước Tẩy Trang Byphasse Cho Mọi Loại Da 500ml
2017-05,100750038,3,Nước Tẩy Trang Byphasse Cho Mọi Loại Da 500ml
2017-06,100750038,5,Nước Tẩy Trang Byphasse Cho Mọi Loại Da 500ml
2017-07,100750038,3,Nước Tẩy Trang Byphasse Cho Mọi Loại Da 500ml
2017-08,100750038,5,Nước Tẩy Trang Byphasse Cho Mọi Loại Da 500ml
2017-09,100750038,3,Nước Tẩy Trang Byphasse Cho Mọi Loại Da 500ml
2017-10,100240016,2,Dung Dịch Tẩy Da Chết Paula’s Choice 2% BHA 118ml
2017-11,100750038,3,Nước Tẩy Trang Byphasse Cho Mọi Loại Da 500ml
2017-12,100200018,1,Kem Tắm Secret Key Dưỡng Sáng Da Mặt Và Cơ Thể 200g
2018-01,100610004,29,Bút Cushion Che Khuyết Điểm Maybelline 120 Light 6ml
2018-02,100610004,37,Bút Cushion Che Khuyết Điểm Maybelline 120 Light 6ml
2018-03,100610004,42,Bút Cushion Che Khuyết Điểm Maybelline 120 Light 6ml
2018-04,100610004,35,Bút Cushion Che Khuyết Điểm Maybelline 120 Light 6ml
2018-05,100610004,42,Bút Cushion Che Khuyết Điểm Maybelline 120 Light 6ml
2018-06,100610004,38,Bút Cushion Che Khuyết Điểm Maybelline 120 Light 6ml
2018-07,249400126,80,
2018-08,100610004,35,Bút Cushion Che Khuyết Điểm Maybelline 120 Light 6ml
2018-09,100610004,41,Bút Cushion Che Khuyết Điểm Maybelline 120 Light 6ml
